food_code,food_name,servings_unit,veg_nonveg_flag,Region,Meal_Type,is_processed_flag,is_spicy_flag,contains_dairy_flag,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,calcium_mg,iron_mg,magnesium_mg,sodium_mg,potassium_mg,zinc_mg,vita_mcg,folate_mcg,vitc_mg,carb_to_fibre_ratio,protein_to_carb_ratio,unsat_to_sat_fat_ratio
ASC001,Hot tea (Garam Chai),tea cup,0,General,Breakfast,0,0,0,33.98,5.43,0.82,1.12,5.42,0.0,676.75,303.5,34.5,29.9,0.05,2.18,6.56,29.35,0.09,0.0,1.8,0.5,5430.0,0.15101289134438306,0.4994458810491319
ASC002,Instant coffee,tea cup,0,General,Breakfast,0,0,0,104.2,16.44,2.88,3.36,16.27,0.0,2030.25,910.5,103.5,93.9,0.27,16.35,22.13,200.25,0.29,0.0,5.6,1.51,16440.0,0.1751824817518248,0.4994458810491319
ASC003,Espreso coffee,tea cup,0,General,Breakfast,0,0,0,81.7,10.49,2.77,3.39,10.36,0.0,2047.3,919.55,104.95,92.1,0.23,13.59,22.15,164.63,0.3,0.0,5.53,1.51,10490.0,0.2640610104861773,0.5004151809700581
ASC004,Iced tea,tall glass,0,General,Breakfast,0,0,0,33.1,8.64,0.09,0.04,8.64,0.0,17.5,0.0,17.5,3.77,0.07,1.25,0.75,16.69,0.03,0.0,1.28,5.95,8640.0,0.010416666666666666,1.0
ASC005,Raw mango drink (Aam panna),tall glass,0,General,Evening Snacks,0,0,0,96.44,24.29,0.42,0.07,20.11,1.64,16.48,15.81,25.32,19.0,0.36,11.41,214.33,84.45,0.08,0.0,14.05,45.3,14.810975609756097,0.01729106628242075,2.495752427184466
ASC006,Fruit Punch (with fresh juices),tall glass,0,General,Dessert,0,0,0,196.6,51.06,0.76,0.18,50.33,0.33,33.78,7.09,54.88,27.59,0.56,17.4,14.33,181.99,0.12,0.0,24.57,41.44,154.72727272727272,0.014884449667058363,1.834517465956187
ASC007,Fruit Punch (with squashes),tall glass,0,General,Evening Snacks,0,0,0,116.3,30.12,0.36,0.08,29.58,0.85,26.3,8.2,35.57,16.6,0.31,9.48,11.35,83.72,0.06,0.0,9.13,15.08,35.43529411764706,0.01195219123505976,1.6642585551330797
ASC008,Lemonade,glass,0,General,Evening Snacks,0,0,0,72.64,19.13,0.12,0.04,19.11,0.06,16.25,0.13,18.52,6.42,0.17,2.55,99.62,20.01,0.04,0.0,2.11,5.27,318.8333333333333,0.006272869837950863,1.1476923076923076
ASC009,Lem-o-gin,glass,0,General,Dessert,0,0,0,76.76,19.81,0.29,0.1,19.21,0.46,33.58,5.23,47.1,7.84,0.31,6.65,100.37,50.54,0.07,0.0,2.92,5.68,43.065217391304344,0.01463907117617365,1.5583680762358547
ASC010,Cumin infused water (Jeere/Zeere ka pani),glass,0,General,Evening Snacks,0,0,0,30.8,6.32,0.57,0.37,4.95,1.57,49.14,135.67,113.62,36.75,1.07,17.89,642.49,108.95,0.14,0.0,3.14,3.61,4.025477707006369,0.09018987341772151,5.073056573056573
